"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2018-08-14,1534204800,52,67,1,6.61,11.713,8.72506643645465
2018-04-09,1523232000,52,67,1,5.133,11.713,6.77876914778608
2018-08-15,1534291200,208,62,1,3.647,28.862,6.03155376666109
2018-08-15,1534291200,208,62,8,2.708,28.862,6.79386948831961
2018-04-10,1523318400,75,71,1,6.626,16.675,36.0780286428053
2018-08-14,1534204800,75,71,1,5.742,16.675,9.27218661672669
2018-08-14,1534204800,75,71,8,3.699,16.675,8.66434584168019
2018-04-10,1523318400,97,71,1,5.103,60.335,21.1038277484477
2018-08-14,1534204800,97,71,1,4.096,60.335,8.70451003720518
2018-08-14,1534204800,97,71,9,2.551,60.335,7.49589253246086
2018-08-15,1534291200,148,61,1,3.962,21.032,6.3307106756838
2018-04-10,1523318400,148,61,1,7.63,21.032,27.5416659860639
2018-08-15,1534291200,217,76,1,3.073,68.871,5.35676190338563
2018-08-16,1534377600,180,78,1,3.391,195.3,5.91235266256263
2018-08-16,1534377600,180,78,1,3.731,195.3,5.91235266256263
2018-08-16,1534377600,180,78,1,4.915975,195.3,5.91235266256263
2018-08-16,1534377600,180,78,1,5.074,195.3,5.91235266256263
2018-08-16,1534377600,180,78,1,4.122,195.3,5.91235266256263
2018-08-16,1534377600,180,78,2,3.788,195.3,5.28673353983322
2018-08-16,1534377600,180,78,3,3.2,195.3,4.98452254760196
2018-08-16,1534377600,180,78,3,3.912,195.3,4.98452254760196
2018-08-16,1534377600,180,78,6,4.155,195.3,4.87601300847018
2018-08-16,1534377600,180,78,10,3.837,195.3,4.92470599056105
2018-08-16,1534377600,180,78,10,3.718,195.3,4.92470599056105
2018-08-16,1534377600,180,78,2,5.8349,195.3,5.28673353983322
2018-04-11,1523404800,180,78,1,3.712,195.3,4.61813942820299
2018-04-11,1523404800,180,78,1,5.566,195.3,4.61813942820299
2018-04-11,1523404800,180,78,1,5.261,195.3,4.61813942820299
2018-04-11,1523404800,180,78,1,3.330025,195.3,4.61813942820299
2018-04-11,1523404800,180,78,2,5.118,195.3,4.62493653685669
2018-04-11,1523404800,180,78,2,4.408,195.3,4.62493653685669
2018-04-11,1523404800,180,78,3,4.215,195.3,4.62558773506316
2018-04-11,1523404800,180,78,3,4.425,195.3,4.62558773506316
2018-04-11,1523404800,180,78,6,4.054,195.3,4.62665821032715
2018-04-11,1523404800,180,78,10,3.782,195.3,4.63040987597196
2018-04-11,1523404800,180,78,10,4.957,195.3,4.63040987597196
2018-08-14,1534204800,58,94,1,5.3,106.864,6.20105356574641
2018-08-14,1534204800,58,94,1,5.238,106.864,6.20105356574641
2018-08-14,1534204800,58,94,1,5.701,106.864,6.20105356574641
2018-08-14,1534204800,58,94,7,5.92,106.864,6.65528432364226
2018-08-14,1534204800,58,94,9,5.522,106.864,6.69735391056747
2018-08-14,1534204800,58,94,10,5.112,106.864,6.84514861859498
2018-08-14,1534204800,58,94,2,5.46,106.864,6.41851192995091
2018-04-09,1523232000,58,94,1,3.04,106.864,7.83219184086192
2018-04-09,1523232000,58,94,1,2.764,106.864,7.83219184086192
2018-04-09,1523232000,58,94,5,3.471,106.864,7.79931724537164
2018-04-09,1523232000,58,94,9,4.003,106.864,7.76859451434575
2018-04-09,1523232000,58,94,1,2.669,106.864,7.83219184086192
2018-04-09,1523232000,77,89,1,4.929,138.518,6.58466433378635
2018-04-09,1523232000,77,89,1,4.197,138.518,6.58466433378635
2018-04-09,1523232000,77,89,5,3.271,138.518,6.60069827063126
2018-04-09,1523232000,77,89,9,3.502,138.518,6.61989770378568
2018-04-09,1523232000,77,89,10,3.575,138.518,6.62393040329334
2018-08-14,1534204800,77,89,1,4.402,138.518,5.3452540669241
2018-08-14,1534204800,77,89,1,5.92,138.518,5.3452540669241
2018-08-14,1534204800,77,89,1,5.519,138.518,5.3452540669241
2018-08-14,1534204800,77,89,6,5.513,138.518,5.70229121876764
2018-08-14,1534204800,77,89,10,5.835,138.518,5.71398231841158
2018-08-14,1534204800,77,89,10,4.803,138.518,5.71398231841158
2018-08-14,1534204800,77,89,2,5.614,138.518,5.62546892979299
2018-04-11,1523404800,218,88,1,4.097,199.54,3.96326458940166
2018-04-11,1523404800,194,88,1,4.535,153.846,4.90227830596268
2018-04-11,1523404800,194,88,1,3.789,153.846,4.90227830596268
2018-04-11,1523404800,194,88,5,3.473,153.846,4.91812397740432
2018-04-11,1523404800,194,88,10,3.563,153.846,4.92475692226435
2018-04-11,1523404800,194,88,10,5.114,153.846,4.92475692226435
2018-08-15,1534291200,194,89,1,4.845,143.209,3.74049841411761
2018-08-15,1534291200,194,89,1,5.4,143.209,3.74049841411761
2018-08-15,1534291200,194,89,1,4.966,143.209,3.74049841411761
2018-08-15,1534291200,194,89,7,4.578,143.209,4.37877906733775
2018-08-15,1534291200,194,89,10,2.89,143.209,4.32221759183449
2018-08-15,1534291200,194,89,10,4.543,143.209,4.32221759183449
2018-08-15,1534291200,194,89,1,5.033,143.209,3.74049841411761
2018-04-09,1523232000,57,102,1,3.725,47.652,9.24411870073527
2018-08-14,1534204800,57,102,1,3.311,47.652,6.42069062450901
2018-04-10,1523318400,97,90,1,2.961,138.647,5.73177294427296
2018-04-10,1523318400,97,90,1,3.348,138.647,5.73177294427296
2018-04-10,1523318400,97,90,1,3.232,138.647,5.73177294427296
2018-04-10,1523318400,97,90,1,2.757,138.647,5.73177294427296
2018-04-10,1523318400,97,90,2,2.873,138.647,5.72333829040872
2018-04-10,1523318400,97,90,3,4.248,138.647,5.71415239392081
2018-04-10,1523318400,97,90,3,3.526,138.647,5.71415239392081
2018-04-10,1523318400,97,90,4,3.385,138.647,5.70550764678046
2018-04-10,1523318400,97,90,8,3.437,138.647,5.64318861506763
2018-04-10,1523318400,97,90,10,3.771,138.647,5.56086797587341
2018-04-10,1523318400,97,90,10,3.246,138.647,5.56086797587341
2018-08-14,1534204800,96,90,1,4.89,138.729,4.0165855352825
2018-08-14,1534204800,96,90,1,5.889,138.729,4.0165855352825
2018-08-14,1534204800,96,90,1,4.241333333,138.729,4.0165855352825
2018-08-14,1534204800,96,90,3,5.106,138.729,3.747382606889
2018-08-14,1534204800,96,90,3,5.976,138.729,3.747382606889
2018-08-14,1534204800,96,90,4,6.154,138.729,3.74481805920368
2018-08-14,1534204800,96,90,8,5.95,138.729,3.71180749425548
2018-08-14,1534204800,96,90,10,4.219,138.729,3.68208634426992
2018-08-14,1534204800,96,90,10,6.151,138.729,3.68208634426992
2018-08-14,1534204800,96,90,1,3.861575,138.729,4.0165855352825
2018-08-15,1534291200,244,89,1,2.31,35.416,5.44547719982802
