"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2013-04-07,1365292800,152,73,1,4.8,91.009,8.35791888675885
2013-04-07,1365292800,152,73,1,4.845,91.009,8.35791888675885
2013-04-07,1365292800,152,73,5,4.673,91.009,8.34488673717715
2013-04-07,1365292800,152,73,9,5.783,91.009,8.34869933896698
2013-04-07,1365292800,152,73,10,4.597,91.009,8.35690934763988
2013-08-14,1376438400,152,73,1,6.619,91.009,6.92699723003898
2013-08-14,1376438400,152,73,1,5.616,91.009,6.92699723003898
2013-08-14,1376438400,152,73,2,5.768,91.009,8.35729588288814
2013-08-14,1376438400,152,73,8,2.131,91.009,8.6462960098288
2013-08-14,1376438400,152,73,8,2.569,91.009,8.6462960098288
2013-08-14,1376438400,152,73,9,2.25,91.009,8.62091292219702
2013-04-05,1365120000,180,78,1,4.672,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.659,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.013,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.613,195.3,6.57908731227508
2013-04-05,1365120000,180,78,2,5.339,195.3,6.58106591799879
2013-04-05,1365120000,180,78,2,4.426,195.3,6.58106591799879
2013-04-05,1365120000,180,78,3,4.742,195.3,6.5823296608869
2013-04-05,1365120000,180,78,3,4.197,195.3,6.5823296608869
2013-04-05,1365120000,180,78,6,4.459,195.3,6.58512726658955
2013-04-05,1365120000,180,78,10,4.473,195.3,6.58849194223876
2013-04-05,1365120000,180,78,10,4.596,195.3,6.58849194223876
2013-08-13,1376352000,180,78,1,4.796,195.3,7.5302600635041
2013-08-13,1376352000,180,78,1,4.813,195.3,7.5302600635041
2013-08-13,1376352000,180,78,1,5.198,195.3,7.5302600635041
2013-08-13,1376352000,180,78,1,6.015,195.3,7.5302600635041
2013-08-13,1376352000,180,78,2,6.213,195.3,8.24823746370384
2013-08-13,1376352000,180,78,3,3.066,195.3,8.18758326204261
2013-08-13,1376352000,180,78,3,2.486,195.3,8.18758326204261
2013-08-13,1376352000,180,78,6,3.764,195.3,7.91160528024193
2013-08-13,1376352000,180,78,10,4.686,195.3,7.84204166848212
2013-08-13,1376352000,180,78,10,4.458,195.3,7.84204166848212
2013-08-13,1376352000,180,78,2,5.308,195.3,8.24823746370384
2013-08-12,1376265600,59,94,1,6.413,108.293,6.7599294197862
2013-08-12,1376265600,59,94,1,5.599,108.293,6.7599294197862
2013-08-12,1376265600,59,94,1,7.314,108.293,6.7599294197862
2013-08-12,1376265600,59,94,7,2.895,108.293,6.52947483104072
2013-08-12,1376265600,59,94,9,4.165,108.293,7.15329224476591
2013-08-12,1376265600,59,94,10,3.186,108.293,7.62375248086755
2013-08-12,1376265600,59,94,2,7.812,108.293,6.49488583803759
2013-04-04,1365033600,58,94,1,3.693,106.864,5.07888216816355
2013-04-04,1365033600,58,94,1,4.138,106.864,5.07888216816355
2013-04-04,1365033600,58,94,5,3.922,106.864,5.06981450598687
2013-04-04,1365033600,58,94,9,3.897,106.864,5.06627065988141
2013-04-04,1365033600,58,94,10,3.597,106.864,5.06790956933401
2013-04-04,1365033600,77,89,1,3.369,138.518,7.00791679264512
2013-04-04,1365033600,77,89,1,4.112,138.518,7.00791679264512
2013-04-04,1365033600,77,89,5,3.759,138.518,7.05189449945465
2013-04-04,1365033600,77,89,10,4.246,138.518,7.0866267378733
2013-04-04,1365033600,77,89,10,4.316,138.518,7.0866267378733
2013-08-12,1376265600,77,89,1,5.603,138.518,6.16532133790315
2013-08-12,1376265600,77,89,1,5.214,138.518,6.16532133790315
2013-08-12,1376265600,77,89,6,4.009,138.518,6.7281216615811
2013-08-12,1376265600,77,89,10,4.559,138.518,7.51712013880024
2013-08-12,1376265600,77,89,10,7.876,138.518,7.51712013880024
2013-08-12,1376265600,77,89,2,4.285,138.518,6.46296712147887
2013-04-05,1365120000,194,89,1,5.215,143.209,5.99030772718834
2013-04-05,1365120000,194,89,1,5.16,143.209,5.99030772718834
2013-04-05,1365120000,194,89,6,4.765,143.209,5.99379018240143
2013-04-05,1365120000,194,89,10,4.26,143.209,6.00099747316563
2013-04-05,1365120000,194,89,10,6.126,143.209,6.00099747316563
2013-08-12,1376265600,194,89,1,6.175,143.209,5.45038801647024
2013-08-12,1376265600,194,89,1,6.084,143.209,5.45038801647024
2013-08-12,1376265600,194,89,1,6.852,143.209,5.45038801647024
2013-08-12,1376265600,194,89,7,2.333,143.209,5.90617719353759
2013-08-12,1376265600,194,89,10,3.326,143.209,5.17685157319647
2013-08-12,1376265600,194,89,10,3.592,143.209,5.17685157319647
2013-08-12,1376265600,194,89,2,5.372,143.209,5.77986838834477
2013-04-04,1365033600,98,90,1,3.354,139.62,6.66581399855204
2013-04-04,1365033600,98,90,1,3.717,139.62,6.66581399855204
2013-04-04,1365033600,98,90,1,3.673,139.62,6.66581399855204
2013-04-04,1365033600,98,90,1,3.635,139.62,6.66581399855204
2013-04-04,1365033600,98,90,2,3.834,139.62,6.67738459014799
2013-04-04,1365033600,98,90,3,3.552,139.62,6.67763606543303
2013-04-04,1365033600,98,90,3,3.411,139.62,6.67763606543303
2013-04-04,1365033600,98,90,4,3.447,139.62,6.68819893689943
2013-04-04,1365033600,98,90,8,3.361,139.62,6.72528358336422
2013-04-04,1365033600,98,90,10,3.03,139.62,6.72761279929546
2013-04-04,1365033600,98,90,10,3.34,139.62,6.72761279929546
2013-08-12,1376265600,97,91,1,6.443,136.241,5.16087993673864
2013-08-12,1376265600,97,91,1,4.909,136.241,5.16087993673864
2013-08-12,1376265600,97,91,1,5.481,136.241,5.16087993673864
2013-08-12,1376265600,97,91,1,5.331,136.241,5.16087993673864
2013-08-12,1376265600,97,91,1,6.339,136.241,5.16087993673864
2013-08-12,1376265600,97,91,3,4.101,136.241,5.5749974308128
2013-08-12,1376265600,97,91,3,2.552,136.241,5.5749974308128
2013-08-12,1376265600,97,91,4,3.15,136.241,5.63167986911139
2013-08-12,1376265600,97,91,8,3.917,136.241,5.56161921849707
2013-08-12,1376265600,97,91,10,4.46,136.241,5.4609827202512
2013-08-12,1376265600,97,91,10,4.522,136.241,5.4609827202512
2013-08-12,1376265600,97,91,2,6.322,136.241,5.46777800991549
2013-04-04,1365033600,145,94,1,3.962,131.193,6.24704034635215
2013-04-04,1365033600,145,94,1,4.053,131.193,6.24704034635215
2013-04-04,1365033600,145,94,5,4.45,131.193,6.25089387540356
2013-04-04,1365033600,145,94,9,4.025,131.193,6.25452275926364
