,Date,Niagara,Eighteenmile,OakOrchard,Genesee,Oswego,Black,TwelveMile,Trent,Humber
1,1/1/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
2,1/2/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
3,1/3/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
4,1/4/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
5,1/5/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
6,1/6/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
7,1/7/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
8,1/8/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
9,1/9/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
10,1/10/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
11,1/11/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
12,1/12/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
13,1/13/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
14,1/14/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
15,1/15/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
16,1/16/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
17,1/17/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
18,1/18/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
19,1/19/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
20,1/20/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
21,1/21/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
22,1/22/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
23,1/23/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
24,1/24/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
25,1/25/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
26,1/26/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
27,1/27/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
28,1/28/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
29,1/29/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
30,1/30/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
31,1/31/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
32,2/1/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
33,2/2/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
34,2/3/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
35,2/4/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
36,2/5/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
37,2/6/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
38,2/7/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
39,2/8/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
40,2/9/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
41,2/10/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
42,2/11/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
43,2/12/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
44,2/13/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
45,2/14/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
46,2/15/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
47,2/16/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
48,2/17/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
49,2/18/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
50,2/19/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
51,2/20/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
52,2/21/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
53,2/22/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
54,2/23/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
55,2/24/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
56,2/25/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
57,2/26/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
58,2/27/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
59,2/28/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
60,3/1/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
61,3/2/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
62,3/3/2018,0.16078953,0.001369674,0.00354721,0.102795763,0.014514059,0.000354039,0,0,0
